word,meaning,level,frequency
analyse,分析； 分解； 解析,CET4,
analysis,分析， 分析报告； 分解； 解析,CET4,
ancestor,祖宗， 祖先； 原型； 先驱,CET4,
anchor,抛锚， 停泊； 把…系住， 使固定； 担任主持人； 固定， 扎根；锚；给人安全感的物,CET4,
ancient,古代的， 古老的； 年老的， 看上去很老的,CET4,
and,conj.和，又，并，则,CET4,
angel,n.天使，神差，安琪儿,CET4,
anger,n.怒，愤怒 vt.使发怒,CET4,
angle,角， 角度； 观点， 立场,CET4,
angry,a.愤怒的，生气的,CET4,
animal,n.动物，兽 a.动物的,CET4,
ankle,踝， 踝关节,CET4,
anniversary,周年纪念日,CET4,
announce,vt.宣布，宣告，发表,CET4,
announcer,n.宣告者；播音员,CET4,
annoy,使恼怒； 打搅,CET4,
annual,每年的，一年一次的；年报， 年鉴； 一年生的植物,CET4,
anonymous,匿名的； 无名的； 无特色的,CET4,
another,a.再一个的；别的,CET4,
answer,vt.回答；响应；适应,CET4,
ant,n.蚂蚁,CET4,
anticipate,预料， 预期， 期望； 先于…行动； 提前使用,CET4,
antique,古时的， 过时的；古物，古董,CET4,
anxiety,焦虑， 忧虑； 渴望， 热望,CET4,
anxious,忧虑的， 令人焦急的； 渴望的,CET4,
any,a.什么，一些；任何的,CET4,
anybody,prep.任何人,CET4,
anyhow,无论如何， 不管怎么说； 随随便便地， 杂乱无章地,CET4,
anyone,pron.任何人,CET4,
anything,pron.任何事物；一切,CET4,
anyway,无论如何， 至少； 不论以何种方式， 无论从什么角度,CET4,
anywhere,ad.在什么地方,CET4,
apart,成距离，相间隔；分开，除去；分离的， 分隔的,CET4,
apartment,一套公寓房间,CET4,
apologize,道歉， 谢罪， 认错,CET4,
apology,道歉， 认错， 谢罪,CET4,
apparent,表面上的， 明显的,CET4,
appeal,呼吁，恳求；申诉，上诉；上诉；感染力， 吸引力； 呼吁， 上诉,CET4,
appear,vi.出现；来到；似乎,CET4,
appearance,出现， 来到； 外观,CET4,
appetite,食欲， 胃口； 欲望,CET4,
applause,鼓掌， 掌声,CET4,
apple,n.苹果，苹果树,CET4,
appliance,用具， 器具， 器械； 家电,CET4,
applicable,能应用的； 合适的， 适当的,CET4,
applicant,申请人,CET4,
application,申请， 申请书； 施用， 涂抹； 应用， 实施； 实用性,CET4,
apply,适用； 申请， 请求； 涂， 敷， 施；应用，实施；使用；涂敷；把…施于,CET4,
appoint,任命， 委任； 约定， 指定,CET4,
appointment,任命； 约定； 约会； 委任的职位,CET4,
appreciate,重视， 赏识； 领会， 体会； 感谢； 增值,CET4,
approach,向…靠近；靠近,CET4,
appropriate,适当的， 恰当的,CET4,
approval,赞成， 同意， 批准,CET4,
approve,赞成， 称许； 批准,CET4,
approximate,近似的；近似； 估计,CET4,
approximately,ad.近似地，大约,CET4,
april,n.四月,CET4,
arabian,a.阿拉伯的,CET4,
arbitrary,随心所欲的， 专断的,CET4,
architect,建筑师， 设计师； 缔造者,CET4,
architecture,建筑学； 建筑式样， 建筑风格,CET4,
area,n.面积；地区；领域,CET4,
argue,争辩， 争论；争论，争辩，辩论；主张；说服,CET4,
argument,争论， 辩论； 理由； 说理， 论证,CET4,
arise,出现； 由…引起； 起身， 起床,CET4,
arithmetic,算术， 四则运算,CET4,
arm,n.臂；臂状物；武器,CET4,
army,n.军队；陆军,CET4,
around,prep.在…周围,CET4,
arouse,引起； 唤起， 唤醒,CET4,
arrange,安排， 准备， 整理,CET4,
arrangement,整理， 排列， 安排； 准备工作,CET4,
arrest,逮捕，拘留；停止，阻止；吸引；逮捕， 拘留， 扣留,CET4,
arrival,到达， 到来； 到达者， 到达物,CET4,
arrive,vi.到达；来临；达到,CET4,
arrow,箭， 箭状物； 箭头符号,CET4,
art,n.艺术，美术；技术,CET4,
article,n.文章；条款；物品,CET4,
artificial,人工的， 人为的； 矫揉造作的； 模拟的,CET4,
artist,n.艺术家，美术家,CET4,
artistic,艺术的， 艺术家的； 富有艺术性的， 精美的； 精彩的,CET4,
as,conj.当…的时候,CET4,
ash,灰， 灰末； 骨灰,CET4,
ashamed,惭愧的， 羞耻的， 害臊的,CET4,
asia,n.亚洲,CET4,
asian,a.亚洲的 n.亚洲人,CET4,
aside,在旁边， 到旁边,CET4,
ask,vt.问；要求；邀请,CET4,
asleep,a.睡着的，睡熟的,CET4,
aspect,方面； 朝向， 方向； 样子， 外表,CET4,
assemble,集合， 召集； 装配,CET4,
assembly,立法机构； 议会； 集合； 集会的人们； 装配， 组装,CET4,
assess,对估价； 评价， 评论,CET4,
asset,资产， 财产； 有价值的特性或技能， 优点,CET4,
assign,指派， 分配， 布置； 指定,CET4,
assignment,任务， 指定的作业； 分配， 指派,CET4,
assist,援助， 帮助， 协助,CET4,
assistance,协助， 援助,CET4,
assistant,助理的， 辅助的；助手，助理，助教,CET4,
associate,结合； 交往；副的；把…联系在一起；使联合；伙伴，同事,CET4,
association,协会， 团体； 联合， 交往,CET4,
assume,假定， 假设， 臆断； 承担， 担任； 呈现,CET4,
assumption,假定， 臆断； 担任， 承担,CET4,
assure,使确信； 确保， 向…保证,CET4,
astonish,使惊讶， 使吃惊,CET4,
astronaut,n.宇宙航行员，宇航员,CET4,
astrophysics,天体物理学,CET4,
at,prep.在…里；在…时,CET4,
athlete,运动员， 体育家,CET4,
atlantic,a.大西洋的 n.大西洋,CET4,
atmosphere,大气， 空气； 气氛， 环境,CET4,
atmospheric,a.大气的;大气层的,CET4,
atom,n.原子；微粒；微量,CET4,
atomic,原子的， 原子能的， 原子武器的,CET4,
attach,缚， 系， 贴； 附加； 使依恋， 使喜爱； 使附属； 认为有,CET4,
attack,攻击，打击；突然发作；攻击， 进攻,CET4,
attain,达到， 获得， 完成,CET4,
attempt,尝试， 试图， 努力,CET4,
attend,vt.出席；照顾，护理,CET4,
attention,n.注意，留心；注意力,CET4,
attentive,a.注意的；有礼貌的,CET4,
attitude,态度， 看法； 姿势,CET4,
attorney,律师， 代理人,CET4,
attract,吸引， 引起…注意,CET4,
attraction,吸引， 吸引力； 引力； 具有吸引力的事物,CET4,
attractive,有吸引力的， 引起注意的,CET4,
attribute,把…归因于；属性,CET4,
audience,听众， 观众， 读者,CET4,
audio,听觉的， 声音的,CET4,
august,n.八月,CET4,
aunt,n.伯母，婶母，姑母,CET4,
aural,a.耳的，听觉的,CET4,
australia,n.澳大利亚,CET4,
australian,a.澳大利亚的,CET4,
author,著作家， 作者,CET4,
authority,官方； 权力； 当权者， 行政管理机构； 权威， 专家,CET4,
auto,汽车,CET4,
automatic,自动的，机械的；不假思索的，无意识的；必然的，自然的；自动手枪； 有自动装置的汽车,CET4,
automation,n.自动，自动化,CET4,
automobile,汽车， 机动车,CET4,
autumn,n.秋，秋季,CET4,
auxiliary,辅助的， 附属的； 后备的,CET4,
available,现成可使用的， 通用的； 可取的； 联系的； 可得到的,CET4,
avenue,林荫道， 道路， 大街,CET4,
average,平均的；平常的；平均；平均数，平均,CET4,
avoid,避免， 躲开； 撤销,CET4,
await,等候； 期待； 将降临到…身上,CET4,
awake,a.醒着的 vt.唤醒,CET4,
award,奖，奖品；判定；授予， 给予； 判给， 裁定,CET4,
aware,知道的， 意识到的,CET4,
away,ad.离开，远离；…去,CET4,
awful,令人不愉快的， 难过的； 非常的， 极大的,CET4,
awfully,ad.令人畏惧的；很,CET4,
awkward,笨拙的， 尴尬的； 难操纵的， 使用不便的； 不灵巧的,CET4,
ax,斧子,CET4,
baby,n.婴儿；孩子气的人,CET4,
back,ad.在后；回原处；回,CET4,
background,出身背景， 经历； 背景资料； 背景， 底子,CET4,
backward,[-]倒； 向后， 往回；向后的，倒的；落后的，进步慢的,CET4,
bacon,咸肉,CET4,
bacteria,细菌,CET4,
bad,a.坏的，恶的；严重的,CET4,
badly,ad.坏，差；严重地,CET4,
badminton,n.羽毛球,CET4,
bag,n.袋，包，钱包，背包,CET4,
baggage,行李,CET4,
bake,烤， 烘， 焙,CET4,
balance,使平衡；称；权衡，比较；天平； 平衡； 结存， 结欠,CET4,
balcony,阳台； 楼厅， 楼座,CET4,
ball,n.球，球状物；舞会,CET4,
balloon,气球， 玩具气球,CET4,
ban,取缔，查禁；禁止；禁止， 禁令,CET4,
banana,n.香蕉；芭蕉属植物,CET4,
band,乐队；群，伙；带；条纹；波段；用带绑扎,CET4,
bang,猛击， 猛撞； 发出砰的一声， 砰砰地响；巨响，枪声；猛击；猛击，猛撞；砰地敲,CET4,
bank,n.银行；库；岩，堤,CET4,
bankrupt,破产的,CET4,
banner,横幅； 旗， 旗帜,CET4,
bar,n.酒吧间；条，杆；栅,CET4,
barber,理发师,CET4,
bare,赤裸的；光秃的，无遮盖的；刚刚够的，勉强的；露出， 显露,CET4,
barely,仅仅， 只不过， 几乎不,CET4,
bargain,讨价还价；特价商品；协议，交易,CET4,
bark,吠，叫；吠声， 叫声； 树皮,CET4,
barn,谷仓； 牲口棚,CET4,
barrel,桶； 圆筒； 枪管,CET4,
barrier,栅栏； 检票口； 屏障； 障碍， 隔阂,CET4,
base,n.基础，底层；基地,CET4,
baseball,棒球,CET4,
basic,a.基本的，基础的,CET4,
basically,基本上， 从根本上说,CET4,
basin,n.盆，洗脸盆；盆地,CET4,
basis,基础， 根据； 原则,CET4,
basket,n.篮，篓，筐,CET4,
basketball,n.篮球；篮球运动,CET4,
bat,蝙蝠； 球棒， 球拍,CET4,
bath,n.浴，洗澡；浴缸,CET4,
bathe,洗澡； 游泳,CET4,
bathroom,n.浴室；盥洗室,CET4,
battery,电池， 蓄电池； 排炮， 炮组； 一系列， 一套,CET4,
battle,n.战役；斗争 vi.作战,CET4,
bay,湾； 分隔间,CET4,
be,aux.v.&vi.是，在，做,CET4,
beach,n.海滩，湖滩，河滩,CET4,
beam,梁，横梁；束，柱；笑容，喜色；面露喜色； 定向发出， 播送,CET4,
bean,豆， 蚕豆,CET4,
bear,n.熊；粗鲁的人；vt.容忍；负担；生育,CET4,
beard,胡须， 络腮胡子,CET4,
bearing,举止， 风度； 方位， 方向感； 影响,CET4,
beast,兽， 野兽， 牲畜； 凶残的人， 令人厌憎的人,CET4,
beat,vt.&vi.打，敲；打败,CET4,
beautiful,a.美的，美丽的,CET4,
beauty,n.美，美丽；美人,CET4,
because,conj.由于，因为,CET4,
become,vi.变成；成为，变得,CET4,
bed,n.床，床位；圃；河床,CET4,
bee,n.蜂，密蜂；忙碌的人,CET4,
beef,n.牛肉；菜牛,CET4,
beer,n.啤酒,CET4,
before,prep.在…以前；向…,CET4,
beg,vt.&vi.乞求；请求,CET4,
beggar,乞丐；使贫穷,CET4,
begin,vi.开始 vt.开始,CET4,
beginner,n.初学者，生手,CET4,
beginning,n.开始，开端；起源,CET4,
behalf,利益,CET4,
behave,表现， 举止； 运转， 作出反应,CET4,
behavior,行为， 举止， 表现,CET4,
behind,prep.在…后面,CET4,
being,存在； 生物， 生命,CET4,
belief,信任， 相信； 信念,CET4,
believe,vt.相信；认为,CET4,
bell,n.钟，铃，门铃；钟声,CET4,
belong,vi.属于，附属,CET4,
beloved,所钟爱的， 所爱戴的,CET4,
below,prep.在…下面(以下),CET4,
belt,n.带，腰带；皮带；区,CET4,
bench,n.长凳，条凳；工作台,CET4,
bend,vt.使弯曲 vi.弯曲,CET4,
beneath,在下方， 在底下；在…下方；低于，次于；在…掩盖下；连…也不值得，有失…的身份,CET4,
beneficial,有利的， 有益的,CET4,
benefit,有益于； 得益；利益，恩惠；救济金，保险金，津贴,CET4,
berry,n.浆果(如草莓等),CET4,
beside,prep.在…旁边,CET4,
besides,而且；除…之外,CET4,
best,a.最好的；最大的,CET4,
bet,打赌；敢说，确信；打赌； 赌金， 赌注,CET4,
better,a.较好的 ad.更好地,CET4,
between,prep.在…中间,CET4,
beyond,在更远处， 再往后；在…的那边，远于；迟于；越出,CET4,
bible,圣经,CET4,
bicycle,n.自行车，脚踏车,CET4,
bid,企图，努力；喊价，出价，投标；喊价， 投标， 出； 祝， 表示； 命令,CET4,
big,a.大的，巨大的,CET4,
bike,n.自行车 vi.骑自行车,CET4,
bill,n.账单；招贴；票据,CET4,
billion,十亿,CET4,
bind,捆绑， 包扎； 装订； 约束； 使结合， 使黏合,CET4,
biology,生物学， 生态学,CET4,
biotechnology,生物工艺学,CET4,
bird,n.鸟，禽,CET4,
birth,n.分娩，出生；出身,CET4,
birthday,n.生日，诞生的日期,CET4,
biscuit,n.(英)饼干；(美)软饼,CET4,
bit,n.一点，一些，小片,CET4,
bite,vt.咬，叮，螫；剌穿,CET4,
bitter,a.痛苦的；严寒的,CET4,
bitterly,ad.苦苦地；悲痛地,CET4,
black,a.黑色的；黑暗的,CET4,
blackboard,n.黑板,CET4,
blade,刀刃， 刀片， 叶片,CET4,
blame,vt.责备，把…归咎于,CET4,
blank,空白的；茫然的，无表情的；空白； 空白表格,CET4,
blanket,毛毯， 毯子， 羊毛毯,CET4,
blast,爆炸，冲击波；一阵；炸,CET4,
bleed,出血， 流血； 泌脂；勒索…的钱,CET4,
blend,混合,CET4,
bless,vt.为…祝福,CET4,
blind,a.瞎的；盲目的,CET4,
block,n.街区 vt.堵塞，拦阻,CET4,
blood,n.血，血液；血统,CET4,
bloody,[用于加强语气]非常，很；[用于加强语气]非常的；该死的；流血的；嗜杀的；血染,CET4,
bloom,开花；花，开花，开花期；青春焕发,CET4,
blow,vi.吹，吹动；吹响,CET4,
blue,a.蓝色的 n.蓝色,CET4,
board,搭伙； 膳宿；板，牌子；木板，纸板；委员会，董事会；伙食；上,CET4,
boast,自夸；自豪；自夸，吹嘘；以拥有…而自豪；自吹自擂， 自夸的话,CET4,
boat,n.小船，艇；渔船,CET4,
body,n.身体；主体；尸体,CET4,
boil,vi.沸腾；汽化 vt.煮沸,CET4,
bold,勇敢的； 鲁莽的； 粗体的， 黑体的； 醒目的,CET4,
bolt,螺栓，插销；闩门,CET4,
bomb,n.炸弹 vt.轰炸,CET4,
bond,黏合， 结合；联结，联系；公债；契约，合同,CET4,
bone,n.骨，骨骼,CET4,
book,n.书，书籍 vt.预定,CET4,
boom,激增， 繁荣， 迅速发展； 发出隆隆声；激增，繁荣，迅速发展；隆隆声，嗡嗡声,CET4,
boost,提高，使增长；推动，激励；替…做广告，宣扬；提高， 增长； 推动， 激励,CET4,
boot,靴子， 长筒靴； 行李箱； 解雇,CET4,
border,边，边缘，边界；给…加上边， 围； 邻接； 与…接壤,CET4,
bore,使厌烦；钻，挖；令人讨厌的人,CET4,
boring,令人厌烦的， 乏味的， 无聊的,CET4,
born,a.天生的；出生的,CET4,
borrow,vt.借，借用，借人,CET4,
bosom,n.胸，胸部；内心,CET4,
boss,n.老板，上司 vt.指挥,CET4,
both,pron.两者(都),CET4,
bother,vt.烦扰，迷惑 n.麻烦,CET4,
bottle,n.瓶，酒瓶；一瓶,CET4,
bottom,n.底，底部，根基,CET4,
bough,n.树枝,CET4,
bounce,弹起，反弹；颠簸；弹， 反弹,CET4,
bound,跳跃；弹回，反跃；一定的；有义务的；跳跃；弹回，反跃；成为…的界限，给…划界；跳跃； 界限， 限制,CET4,
boundary,分界线， 边界,CET4,
bow,n.弓；蝴蝶结；鞠躬,CET4,
bowl,n.碗，钵；碗状物,CET4,
box,n.箱，盒；包箱；vi.拳击，打拳,CET4,
boy,n.男孩，少年；家伙,CET4,
bracket,括号；把…归为同一类,CET4,
brain,n.脑，脑髓；脑力,CET4,
brake,制动； 刹住， 用闸使放慢速度；闸，刹车,CET4,
branch,n.树枝；分部；分科,CET4,
brand,品牌；烙印；铭刻， 打烙印于； 加污名于， 谴责,CET4,
brandy,n.白兰地酒,CET4,
brass,黄铜， 黄铜器， 铜管乐器,CET4,
brave,勇敢的； 华丽的,CET4,
bread,n.面包；食物，粮食,CET4,
breadth,宽度； 幅度， 幅面,CET4,
break,vt.打破；损坏；破坏,CET4,
breakdown,垮， 衰竭； 损坏， 故障； 倒塌,CET4,
breakfast,n.早饭，早餐,CET4,
breast,乳房； 胸脯， 胸膛,CET4,
breath,n.气息，呼吸；气味,CET4,
breathe,vi.呼吸 vt.呼吸,CET4,
breed,繁殖； 养育， 培育； 酿成， 产生；品种,CET4,
breeze,飘然而行；微风，和风,CET4,
brick,砖， 砖块， 砖状物,CET4,
bride,新娘,CET4,
bridge,n.桥，桥梁；桥牌,CET4,
brief,简短的，短暂的；向…介绍基本情况，做…的提要；概要， 摘要,CET4,
bright,a.明亮的；聪明的,CET4,
brighten,vt.使发光；使快活,CET4,
brilliant,光辉的； 卓越的,CET4,
brim,n.边，边缘；帽沿,CET4,
bring,vt.带来；引出；促使,CET4,
bristle,n.短而硬的毛；鬃毛,CET4,
britain,n.不列颠，英国,CET4,
british,a.不列颠的，英联邦的,CET4,
brittle,a.脆的；易损坏的,CET4,
broad,a.宽的，阔的；广泛的,CET4,
broadcast,n.广播，播音,CET4,
broken,a.被打碎的，骨折的,CET4,
brook,n.小河，溪流,CET4,
broom,扫帚,CET4,
brother,n.兄弟；同事，同胞,CET4,
brow,额， 眉， 眉毛,CET4,
brown,n.褐色，棕色,CET4,
brush,n.刷子，毛刷；画笔,CET4,
brute,n.禽兽，畜生,CET4,
bubble,冒泡； 沸腾；泡,CET4,
bucket,水桶， 吊桶； 铲斗,CET4,
budget,规划，安排；编预算；低廉的， 收费公道的；预算，预算拨款,CET4,
build,vt.建筑；建立；创立,CET4,
building,n.建筑物，大楼；建筑,CET4,
bulb,电灯泡， 球状物,CET4,
bulk,变得越来越大； 使更大；物体；体积；大批,CET4,
bullet,枪弹， 子弹， 弹丸,CET4,
bump,碰，撞；颠簸着前进；碰撞， 猛撞； 肿块； 隆起物,CET4,
bunch,集中， 挤在一起； 形成一束；群，伙；束，串，捆；使成一束,CET4,
bundle,捆，包，束；包袱；收集， 归拢； 把…塞入,CET4,
burden,重担，精神负担；加重压于， 烦扰； 负担， 装载,CET4,
bureau,局， 司， 处， 社， 所,CET4,
burn,vi.烧，燃烧 n.烧伤,CET4,
burst,爆裂，爆炸；挤满；突然打开；突然发作；使爆炸；突然打开；爆炸,CET4,
bury,vt.埋葬，葬；埋藏,CET4,
bus,n.公共汽车,CET4,
bush,n.灌木，灌木丛，矮树,CET4,
business,n.商业，生意；事务,CET4,
busy,a.忙的，繁忙的,CET4,
but,conj.但是，可是,CET4,
butcher,肉商，肉贩，屠夫；屠宰， 残杀,CET4,
butter,n.黄油；奶油,CET4,
butterfly,蝴蝶,CET4,
button,n.扣子；按钮 vt.扣紧,CET4,
buy,vt.买，购买 vi.买,CET4,
by,prep.在…旁；被，由,CET4,
cabbage,洋白菜， 卷心菜,CET4,
cabin,小屋； 船舱， 机舱,CET4,
cabinet,橱， 柜； 内阁,CET4,
cable,缆， 索， 电缆； 电报,CET4,
cafe,n.咖啡馆；小餐厅,CET4,
cage,n.笼；鸟笼，囚笼,CET4,
cake,n.饼，糕，蛋糕,CET4,
calculate,计算； 估计； 计划,CET4,
calculation,n.计算，计算结果,CET4,
calculator,计算器， 计算者,CET4,
calendar,日历， 历书， 历法,CET4,
call,vt.把…叫做；叫，喊,CET4,
calm,静的，平静的；平静， 镇静,CET4,
camel,骆驼,CET4,
camera,n.照相机，摄影机,CET4,
camp,n.野营，营地，兵营,CET4,
campaign,参加运动； 参加竞选；战役；运动,CET4,
campus,校园， 学校场地,CET4,
can,aux.v.能，会，可能；n.罐头，听头；容器,CET4,
canada,n.加拿大,CET4,
canadian,a.加拿大的,CET4,
canal,运河， 沟渠； 管,CET4,
cancel,取消， 撤销； 删去,CET4,
cancer,癌， 癌症； 肿瘤,CET4,
candidate,候选人； 投考者， 申请求职者,CET4,
candle,n.蜡烛；烛形物；烛光,CET4,
candy,糖果,CET4,
canoe,n.独木舟，皮艇，划子,CET4,
canteen,n.小卖部；临时餐室,CET4,
cap,n.帽子，便帽；帽状物,CET4,
capable,有能力的， 有才能的,CET4,
capacity,容量； 能力， 才能； 能量； 身份， 地位,CET4,
capital,n.资本，资金；首都,CET4,
captain,n.陆军上尉；队长,CET4,
capture,捕获， 俘获； 夺得,CET4,
car,n.汽车，小汽车，轿车,CET4,
carbon,碳,CET4,
card,n.卡，卡片，名片,CET4,
care,vi.关心，介意 n.小心,CET4,
career,生涯， 职业， 经历,CET4,
careful,a.仔细的；细致的,CET4,
careless,a.粗心的，漫不经心的,CET4,
cargo,船货， 货物,CET4,
carpenter,木工， 木匠,CET4,
carpet,地毯,CET4,
